,num_timesteps,num_defenders,defense_time_threshold,defender_utility,support,runtime
0,7,1,1,-0.6467750838119493,3,0.023337364196777344
1,7,1,2,-0.8577846302152189,1,0.02813243865966797
2,7,2,1,-0.47398429331410513,4,0.03734445571899414
3,7,2,2,-0.8577846302152189,1,0.057288169860839844
4,7,3,1,-0.4288688300709115,11,0.03821969032287598
5,7,3,2,-0.8577846302152189,1,0.0476076602935791
6,8,1,1,-0.6467750838119493,3,0.024845361709594727
7,8,1,2,-0.6467750838119493,3,0.0399777889251709
8,8,2,1,-0.47398429331410513,4,0.04462432861328125
9,8,2,2,-0.47398429331410513,4,0.04293394088745117
10,8,3,1,-0.4288688300709115,11,0.02963852882385254
11,8,3,2,-0.4288688300709115,11,0.04142618179321289
12,9,1,1,-0.6467750838119493,3,0.041010141372680664
13,9,1,2,-0.6467750838119493,3,0.027535438537597656
14,9,2,1,-0.47398429331410513,4,0.056966543197631836
15,9,2,2,-0.47398429331410513,4,0.04691028594970703
16,9,3,1,-0.4288688300709115,11,0.04011058807373047
17,9,3,2,-0.4288688300709115,11,0.03130984306335449
18,10,1,1,-0.6467750838119493,3,0.04798460006713867
19,10,1,2,-0.6467750838119493,3,0.0372462272644043
20,10,2,1,-0.47398429331410513,4,0.05268549919128418
21,10,2,2,-0.47398429331410513,4,0.03519153594970703
22,10,3,1,-0.4288688300709115,11,0.03176569938659668
23,10,3,2,-0.4288688300709115,11,0.045014142990112305
