,seed,num_timesteps,num_defenders,num_clusters,dims,defense_time_threshold,defender_utility,support,runtime
0,1,8,2,10,7,1,-0.3647937206907051,2,0.4333949089050293
1,2,8,2,10,7,1,-0.04176036783637985,1,0.4377305507659912
2,3,8,2,10,7,1,-0.33575918909389113,3,0.36228036880493164
3,4,8,2,10,7,1,-0.1375614248946741,2,0.3415873050689697
4,5,8,2,10,7,1,-0.2623754026612342,2,0.38010191917419434
5,6,8,2,10,7,1,-0.06959247946943267,3,0.3505747318267822
6,7,8,2,10,7,1,-0.0776708277017659,1,0.36426734924316406
7,8,8,2,10,7,1,-0.29577336314244873,3,0.501500129699707
8,9,8,2,10,7,1,-0.23751224054621298,2,0.3919405937194824
9,10,8,2,10,7,1,-0.13357319628769004,4,0.38594841957092285
