,seed,num_timesteps,num_attackers,num_defenders,num_clusters,dims,defense_time_threshold,force_return,num_defender_actions,nash_value,nash_support,nash_runtime,mip_value,mip_support,mip_runtime
0,1,9,1,2,10,7,2,False,1024,-0.29033023575187283,10,0.11543536186218262,"[-0.4339125713795936, -0.3824697367114411, -0.3380509068273841, -0.3132735321308678, -0.30289684928568317, -0.29486725086075805, -0.29256462973298486, -0.2912875296216229, -0.2908247485417861, -0.2903302357518729]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.27931761741638184, 1.4861969947814941, 1.5399575233459473, 1.0869734287261963, 0.6635918617248535, 0.45269131660461426, 0.4485442638397217, 0.18641209602355957, 0.20267939567565918, 0.15498828887939453]"
1,2,9,1,2,10,7,2,False,1024,-0.3070159048486783,9,0.07505607604980469,"[-0.5315529305720299, -0.38498854887125855, -0.3482543436186731, -0.32423097999409456, -0.315775196325614, -0.30961804400370896, -0.30921151010527603, -0.30783148760230133, -0.30701590484867824]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.20938706398010254, 2.184225559234619, 1.1755552291870117, 0.7517678737640381, 0.6240184307098389, 0.4540407657623291, 0.3571441173553467, 0.3265259265899658, 0.17273545265197754]"
2,3,9,1,2,10,7,2,False,1024,-0.2762168226690769,9,0.07989263534545898,"[-0.5370053672437123, -0.35254141180045034, -0.3049769792113606, -0.2924865123087377, -0.28399565077435984, -0.27768178399924004, -0.2762778205741933, -0.2762201097297631, -0.2762168226690768]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.17422199249267578, 1.0200650691986084, 0.8664462566375732, 0.6725502014160156, 0.6504132747650146, 0.2108628749847412, 0.203751802444458, 0.2162778377532959, 0.14784598350524902]"
3,4,9,1,2,10,7,2,False,1024,-0.29554210914691825,10,0.09353327751159668,"[-0.4932172349141911, -0.3622695035452386, -0.33207802104285783, -0.3160498660071751, -0.3044010445801559, -0.3024800857848091, -0.2998767002412268, -0.29726031911813494, -0.29571598844274904, -0.2955421091469182]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.24433636665344238, 1.570646047592163, 1.2527823448181152, 0.9508106708526611, 0.6561896800994873, 0.6663103103637695, 0.5375409126281738, 0.4180908203125, 0.2757856845855713, 0.16231608390808105]"
4,5,9,1,2,10,7,2,False,1024,-0.28789276976096423,10,0.09746694564819336,"[-0.43794098936155895, -0.3500173093491917, -0.305328352052288, -0.2979099752961981, -0.2930846759861264, -0.29102212419677614, -0.28900556475962474, -0.2882052577800151, -0.28808041878576673, -0.2878927697609642]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.15801358222961426, 0.9724347591400146, 0.5014748573303223, 0.5770556926727295, 0.5592207908630371, 0.5624620914459229, 0.5537569522857666, 0.3683898448944092, 0.2992362976074219, 0.10768270492553711]"
5,6,9,1,2,10,7,2,False,1024,-0.252650759223585,10,0.07500076293945312,"[-0.39033260957808347, -0.3112114630881551, -0.2875270244217296, -0.26527495869034223, -0.2584745979394287, -0.2543198277002005, -0.25384347037715055, -0.2528786328310808, -0.25270028911059267, -0.25265075922358504]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.22573137283325195, 0.4162018299102783, 0.46398472785949707, 0.26416563987731934, 0.2316429615020752, 0.25262904167175293, 0.2930026054382324, 0.23316335678100586, 0.17058086395263672, 0.15630054473876953]"
6,7,9,1,2,10,7,2,False,1024,-0.2540743670722176,9,0.07318353652954102,"[-0.36992923920854837, -0.2914045790617661, -0.27486088845770734, -0.2602931299776192, -0.25779216691165024, -0.255890154580161, -0.25545110005353133, -0.25456457945935135, -0.2540743670722176]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.17469120025634766, 0.477766752243042, 0.4798884391784668, 0.25359559059143066, 0.3415699005126953, 0.3145101070404053, 0.393451452255249, 0.1747725009918213, 0.13885235786437988]"
7,8,9,1,2,10,7,2,False,1024,-0.2646773400951973,10,0.08965945243835449,"[-0.5254645741668205, -0.3376748234644291, -0.29762917786374343, -0.28131239127790053, -0.2666226131623917, -0.2656578193220149, -0.26522754440164314, -0.26495342012972467, -0.2648522260334372, -0.26467734009519744]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.21364831924438477, 0.8747038841247559, 0.7098441123962402, 0.5573468208312988, 0.20160770416259766, 0.30301451683044434, 0.2819497585296631, 0.24435925483703613, 0.20345735549926758, 0.15760445594787598]"
8,9,9,1,2,10,7,2,False,1024,-0.28749881552879225,10,0.07658004760742188,"[-0.5346169071956984, -0.36969260986457014, -0.32309665638273766, -0.3077951843002266, -0.2981683576115797, -0.29226244454443506, -0.2901485687772064, -0.28779949082389605, -0.2876757200828169, -0.2874988155287923]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.15915250778198242, 1.2205300331115723, 0.8652520179748535, 0.8481976985931396, 0.6974265575408936, 0.48369860649108887, 0.33939123153686523, 0.22779083251953125, 0.23018789291381836, 0.11779308319091797]"
9,10,9,1,2,10,7,2,False,1024,-0.30224853363781595,10,0.08212113380432129,"[-0.4502520477033025, -0.3489705858611597, -0.32710712921717816, -0.3182569573566292, -0.30940035491978723, -0.3066534503873075, -0.3048847417078634, -0.30313022440942416, -0.30244985259210505, -0.30224853363781595]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.19426536560058594, 0.7273716926574707, 0.8226795196533203, 1.031883955001831, 0.527087926864624, 0.6059610843658447, 0.47356557846069336, 0.26322317123413086, 0.16597867012023926, 0.16907691955566406]"
