,num_timesteps,mip_supports,mip_values,mip_runtimes,nash_supports,nash_values,game_runtimes
0,8,1,-19.470289306521796,38.0395781993866,10,-17.81801534407963,30.464332580566406
1,8,2,-19.335043038991913,39.884719371795654,10,-17.81801534407963,30.464332580566406
2,8,3,-19.227592843674188,37.73997974395752,10,-17.81801534407963,30.464332580566406
3,8,4,-18.96546758008528,36.538902282714844,10,-17.81801534407963,30.464332580566406
4,8,5,-18.826696869875843,44.0317919254303,10,-17.81801534407963,30.464332580566406
5,8,6,-18.364953857293703,43.0145480632782,10,-17.81801534407963,30.464332580566406
6,8,7,-18.229941952506937,43.10296583175659,10,-17.81801534407963,30.464332580566406
7,8,8,-18.060596981574964,40.96511912345886,10,-17.81801534407963,30.464332580566406
8,8,9,-17.81801534407963,32.45101046562195,10,-17.81801534407963,30.464332580566406
9,9,1,-19.470289207087465,923.1398189067841,10,-17.81801534407963,133.65278029441833
10,9,2,-19.335039094087062,194.47328639030457,10,-17.81801534407963,133.65278029441833
11,9,3,-19.22758864554469,537.3451759815216,10,-17.81801534407963,133.65278029441833
12,9,4,-18.965467147309433,149.0129714012146,10,-17.81801534407963,133.65278029441833
13,9,5,-18.82669628290657,447.312237739563,10,-17.81801534407963,133.65278029441833
14,9,6,-18.36495245704946,1031.157423734665,10,-17.81801534407963,133.65278029441833
15,9,7,-18.229941720241776,453.85442066192627,10,-17.81801534407963,133.65278029441833
16,9,8,-18.060596560881894,1193.166785955429,10,-17.81801534407963,133.65278029441833
17,9,9,-17.81801534407963,141.18189406394958,10,-17.81801534407963,133.65278029441833
18,10,1,-19.470288079211098,760.1781969070435,12,-17.81801534407963,566.8216624259949
19,10,2,-19.335042862194957,4313.073167085648,12,-17.81801534407963,566.8216624259949
20,10,3,-19.227592626170473,1858.5040373802185,12,-17.81801534407963,566.8216624259949
21,10,4,-18.965467559771895,8874.387265443802,12,-17.81801534407963,566.8216624259949
